"AGE","CLITIME","INCOME","RESIDTIME","REGION_North","REGION_South","REGION_West","CABLETV_Yes","AUTODEBT_Yes","DEBTINC","CHURN"
39,25,8710,7.2,0,0,1,0,0,0.0690011481056257,"No"
44,29,11820,5,0,0,0,1,1,0.0804568527918782,"No"
44,23,10110,7.4,1,0,0,1,1,0.0607319485657765,"No"
42,29,8160,5.2,0,0,0,1,1,0.0699754901960784,"No"
48,18,8090,2.9,0,0,0,1,0,0.16168108776267,"No"
49,19,6120,8.1,0,0,0,1,1,0.0316993464052288,"No"
30,23,6390,4.4,0,0,1,1,0,0.0317683881064163,"No"
38,22,5000,4.2,0,0,0,1,0,0.1302,"No"
44,28,7080,5.8,1,0,0,1,0,0.187005649717514,"No"
37,12,5990,6.7,0,0,1,1,0,0.0799666110183639,"No"
43,18,5600,5.4,0,0,0,0,0,0.12,"No"
38,21,6630,5.9,1,0,0,1,0,0.17315233785822,"No"
40,25,7990,4.6,1,0,0,0,1,0.0424280350438048,"No"
43,24,11000,6.4,1,0,0,1,1,0.0758181818181818,"No"
54,15,5700,4.4,0,0,0,1,0,0.0257894736842105,"No"
47,38,15170,8.7,1,0,0,1,0,0.0652603823335531,"No"
28,15,5160,3.8,0,0,0,0,0,0.204263565891473,"No"
33,24,6140,4.4,0,0,1,1,0,0.147231270358306,"No"
29,13,5520,7.8,0,1,0,1,1,0.0992753623188406,"No"
40,31,10890,6.8,1,0,0,1,0,0.0500459136822773,"No"
56,36,11270,1.6,0,0,0,1,0,0.134960070984916,"No"
50,37,8140,8,1,0,0,1,0,0.0183046683046683,"No"
61,26,19820,2.1,0,1,0,1,1,0.0855701311806256,"No"
46,26,9620,3.5,0,1,0,1,1,0.103742203742204,"No"
44,22,8440,3.5,1,0,0,1,0,0.0209715639810427,"No"
41,22,6820,7.2,1,0,0,0,1,0.0865102639296188,"No"
41,23,7060,10.4,1,0,0,1,1,0.0652974504249292,"No"
47,18,6870,7.3,1,0,0,1,1,0.0491994177583697,"No"
35,23,5520,5.9,0,1,0,1,0,0.0403985507246377,"No"
28,17,4910,2.5,0,1,0,1,0,0.127087576374745,"No"
31,21,5520,4,0,0,0,0,1,0.0353260869565217,"No"
38,30,13220,5.8,1,0,0,1,0,0.11089258698941,"No"
34,23,6420,1,1,0,0,0,0,0.0478193146417445,"No"
49,20,12050,1.9,1,0,0,0,1,0.0175933609958506,"No"
38,26,6580,6.4,1,0,0,1,0,0.0358662613981763,"No"
32,13,6900,3.7,0,1,0,1,1,0.19536231884058,"No"
46,28,10400,5.4,0,0,0,0,0,0.0559615384615385,"No"
34,18,6590,4.4,0,0,0,1,0,0.130955993930197,"No"
31,15,6660,4.5,0,1,0,1,1,0.0663663663663664,"No"
46,25,6840,3.4,0,0,0,0,0,0.0277777777777778,"No"
48,20,12980,2.7,0,0,1,0,0,0.206240369799692,"No"
44,27,7910,3,1,0,0,0,0,0.0230088495575221,"No"
35,13,5770,6.7,0,0,0,1,1,0.0379549393414211,"No"
43,36,13160,4.9,0,1,0,1,0,0.128647416413374,"No"
52,25,11870,3.3,0,0,0,1,0,0.0477674810446504,"No"
23,16,4950,4.8,0,0,1,1,1,0.0616161616161616,"No"
35,22,5860,4.6,0,0,0,0,1,0.0383959044368601,"No"
29,21,7190,7.4,1,0,0,1,0,0.0443671766342142,"No"
33,19,7000,5.6,1,0,0,1,0,0.0982857142857143,"No"
47,26,7060,6.4,0,0,0,1,1,0.0206798866855524,"No"
50,21,5340,2.6,0,0,0,1,0,0.342322097378277,"No"
34,13,5520,7.1,0,0,1,1,1,0.103260869565217,"No"
45,22,7060,0.7,0,0,0,1,1,0.0361189801699717,"No"
33,15,5660,5.4,0,1,0,1,1,0.0598939929328622,"No"
46,12,6870,5.1,0,0,1,0,0,0.0179039301310044,"No"
33,20,10900,9.5,0,0,0,1,1,0.0627522935779816,"No"
44,27,15960,5,0,0,0,1,0,0.0893483709273183,"No"
55,30,6500,2.5,1,0,0,0,1,0.022,"No"
35,17,8320,3.7,0,0,0,1,0,0.0721153846153846,"No"
39,20,6130,5.7,0,1,0,0,1,0.0768352365415987,"No"
44,14,5220,4.6,1,0,0,0,0,0.0777777777777778,"No"
37,14,4580,5.7,0,0,0,0,1,0.17117903930131,"No"
43,22,5460,7,1,0,0,1,1,0.0633699633699634,"No"
35,25,6760,4.8,1,0,0,1,1,0.17914201183432,"No"
29,17,4990,4,0,0,1,1,0,0.0907815631262525,"No"
34,19,5080,4.4,0,0,1,0,0,0.123622047244094,"No"
32,15,4620,6,1,0,0,0,0,0.05,"No"
33,23,6770,2.1,0,0,1,1,0,0.0189069423929099,"No"
37,25,6460,3.8,0,0,1,1,0,0.163312693498452,"No"
34,13,4890,5.4,0,0,1,1,0,0.146421267893661,"No"
43,17,8550,1.7,1,0,0,1,0,0.104912280701754,"No"
28,19,5250,5.5,0,0,1,0,0,0.15047619047619,"No"
50,26,9110,8.4,1,0,0,0,0,0.260812294182217,"No"
35,14,6510,6.3,0,0,1,1,0,0.00737327188940092,"No"
38,25,10020,2.8,1,0,0,1,0,0.0356287425149701,"No"
37,12,7500,7.7,1,0,0,1,1,0.008,"No"
46,30,14530,5.4,0,0,1,0,0,0.0204404679972471,"No"
36,27,9190,4.9,1,0,0,0,0,0.129379760609358,"No"
37,30,9610,6,1,0,0,1,0,0.123933402705515,"No"
39,20,6740,5.1,1,0,0,1,0,0.116765578635015,"No"
35,19,5130,1.5,0,0,0,1,0,0.106432748538012,"No"
39,24,8020,9.5,0,0,1,1,0,0.0751870324189526,"No"
42,29,7090,4.2,0,0,1,1,0,0.058392101551481,"No"
35,23,6770,3.9,1,0,0,1,1,0.0259970457902511,"No"
37,18,5720,5.9,0,0,0,1,0,0.0746503496503497,"No"
45,17,5290,4.8,0,0,1,1,0,0.0266540642722117,"No"
50,31,10860,5.9,0,0,1,1,0,0.0858195211786372,"No"
51,36,10490,5,0,0,1,1,1,0.164728312678742,"No"
38,25,6970,8.2,1,0,0,1,0,0.0486370157819225,"No"
36,24,9610,3.7,0,0,1,1,0,0.0843912591050989,"No"
34,21,5540,5.6,0,0,1,0,0,0.025812274368231,"No"
37,18,5400,7.1,0,0,1,1,0,0.116111111111111,"No"
28,12,5620,2.3,0,1,0,1,0,0.120996441281139,"No"
52,33,19780,8.2,0,1,0,0,1,0.0687563195146613,"No"
34,19,5960,4.7,1,0,0,1,1,0.025503355704698,"No"
42,22,6270,4.5,1,0,0,1,1,0.114354066985646,"No"
29,13,5230,7.6,1,0,0,0,1,0.0711281070745698,"No"
29,18,5220,5.3,1,0,0,1,0,0.0850574712643678,"No"
42,13,5390,3,1,0,0,1,1,0.073469387755102,"No"
48,23,7380,4.8,0,0,0,0,1,0.0348238482384824,"No"
44,36,10730,4.7,1,0,0,0,0,0.0806150978564772,"No"
28,15,4990,5.6,0,1,0,1,0,0.133066132264529,"No"
49,18,8090,6.7,1,0,0,1,1,0.0369592088998764,"No"
36,24,9970,4.7,0,0,1,1,1,0.119658976930792,"No"
40,15,7970,3.2,0,1,0,1,1,0.033375156838143,"No"
29,18,5190,2.8,0,1,0,1,0,0.00886319845857418,"No"
29,22,4830,2.5,0,0,0,0,0,0.0977225672877847,"No"
41,17,5590,4.1,1,0,0,0,0,0.0114490161001789,"No"
33,26,5980,2.6,0,0,0,1,0,0.103511705685619,"No"
45,20,6850,7.4,0,0,1,1,0,0.0594160583941606,"No"
33,17,5770,2.4,0,0,1,0,0,0.0331022530329289,"No"
39,26,8790,4,0,0,1,1,1,0.0266211604095563,"No"
44,17,5120,4.5,0,0,0,0,1,0.0263671875,"No"
42,33,16270,3.5,0,1,0,1,0,0.0804548248309773,"No"
31,23,5830,5.3,1,0,0,1,1,0.0728987993138936,"No"
47,13,6820,4.3,1,0,0,0,1,0.0715542521994135,"No"
36,19,16860,9.7,0,0,0,1,0,0.0180901542111507,"No"
44,32,9230,4.9,0,0,1,1,1,0.0284940411700975,"No"
56,49,19390,6.2,0,0,0,1,1,0.21175863847344,"No"
31,19,6000,1.1,0,1,0,1,0,0.113833333333333,"No"
54,38,15870,2,1,0,0,1,0,0.0680529300567108,"No"
37,26,5910,6.8,1,0,0,1,0,0.280372250423012,"No"
30,12,5260,2.1,0,0,0,1,1,0.0825095057034221,"No"
30,18,5860,5.3,1,0,0,0,1,0.0419795221843003,"No"
35,16,7230,7.7,1,0,0,1,0,0.037344398340249,"No"
32,19,5110,5,0,0,1,0,1,0.155772994129159,"No"
38,28,8360,5.2,1,0,0,0,0,0.00753588516746411,"No"
31,19,5300,5.4,0,1,0,1,1,0.0632075471698113,"No"
47,29,13380,7.9,0,0,1,1,0,0.0909566517189836,"No"
42,22,13150,4.4,0,0,1,0,0,0.00577946768060836,"No"
56,38,14030,6.7,1,0,0,1,0,0.130434782608696,"No"
36,24,6700,5.3,0,0,1,1,0,0.0553731343283582,"No"
25,12,4700,8.9,0,0,0,0,1,0.0585106382978723,"No"
27,17,5690,5.2,0,0,0,1,0,0.124428822495606,"No"
32,16,4550,8.5,1,0,0,1,1,0.0481318681318681,"No"
34,13,4560,3.5,0,1,0,1,1,0.0304824561403509,"No"
43,29,10430,4.3,0,0,0,0,1,0.0437200383509108,"No"
39,18,6200,3.5,0,0,0,1,1,0.0454838709677419,"No"
33,23,7530,3.2,1,0,0,0,0,0.0221779548472776,"No"
30,21,6380,2.2,0,1,0,1,1,0.170846394984326,"No"
29,18,5480,6.6,0,0,0,1,1,0.10036496350365,"No"
33,24,7530,6.3,0,0,0,1,1,0.190172642762284,"No"
41,20,5520,4.8,0,0,1,1,0,0.0251811594202899,"No"
40,19,7920,4.2,0,1,0,0,0,0.0246212121212121,"No"
34,15,4620,2.8,1,0,0,0,0,0.116450216450216,"No"
43,12,5610,4.1,0,0,1,0,0,0.0597147950089127,"No"
53,37,37190,5.6,1,0,0,1,0,0.0944877655283678,"No"
38,15,4890,1.5,0,0,0,0,1,0.0519427402862986,"No"
32,20,9390,4.9,1,0,0,1,0,0.0840255591054313,"No"
35,25,8410,3.8,0,0,1,1,1,0.0505350772889417,"No"
